|||Germany
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Wintershall Dea|Oil & Gas Drilling|https://www.wintershalldea.com|https://www.wintershalldea.com/careers|https://www.wintershalldea.com/news
2|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
3|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
4|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://jobs.halliburton.com|https://news.halliburton.com
5|KCA Deutag|Oil & Gas Drilling|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
6|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
7|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
8|Nabors Industries|Oil & Gas Drilling|https://www.nabors.com|https://www.nabors.com/careers|https://www.nabors.com/news
9|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
10|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Siemens Energy|Oil & Gas Equipment & Services|https://www.siemens-energy.com|https://www.siemens-energy.com/global/en/company/careers.html|https://www.siemens-energy.com/global/en/media/news.html
2|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
3|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
4|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://news.halliburton.com
5|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
6|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
7|KCA Deutag|Oil & Gas Equipment & Services|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
8|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
9|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
10|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Volkswagen AG|Integrated Oil & Gas|https://www.volkswagenag.com|https://www.volkswagenag.com/en/careers.html|https://www.volkswagenag.com/en/news.html
2|Shell Deutschland|Integrated Oil & Gas|https://www.shell.de|https://www.shell.de/de_de/careers.html|https://www.shell.de/de_de/media/news-and-media-releases.html
3|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
4|BP Deutschland|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en_de/careers.html|https://www.bp.com/en_de/news.html
5|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
6|Wintershall Dea|Integrated Oil & Gas|https://www.wintershalldea.com|https://www.wintershalldea.com/careers|https://www.wintershalldea.com/news
7|OMV|Integrated Oil & Gas|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news
8|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
9|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media/news
10|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enipedia/en/careers.html|https://www.eni.com/en/media/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Wintershall Dea|Oil & Gas Exploration & Production|https://www.wintershalldea.com|https://www.wintershalldea.com/careers|https://www.wintershalldea.com/news
2|Deutsche Erdoel AG|Oil & Gas Exploration & Production|https://www.deutsche-erdol.de|https://www.deutsche-erdol.de/karriere|https://www.deutsche-erdol.de/aktuelles
3|RWE|Oil & Gas Exploration & Production|https://www.rwe.com|https://www.rwe.com/en/careers|https://www.rwe.com/en/news
4|OMV|Oil & Gas Exploration & Production|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news
5|Baker Hughes|Oil & Gas Exploration & Production|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
6|Schlumberger|Oil & Gas Exploration & Production|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
7|E.ON|Oil & Gas Exploration & Production|https://www.eon.com|https://www.eon.com/en/careers|https://www.eon.com/en/media/news
8|Petrofac|Oil & Gas Exploration & Production|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
9|Chevron|Oil & Gas Exploration & Production|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
10|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news

|||Oil & gas refining & marketing
