|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|Kosmos Energy|Oil & Gas Drilling|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Eni Ghana|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/enit/careers|https://www.eni.com/enit/news
4|Ghana National Petroleum Corporation|Oil & Gas Drilling|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
5|PetroSA|Oil & Gas Drilling|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
6|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
7|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
8|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
9|Rowan Companies|Oil & Gas Drilling|https://www.rowancompanies.com|https://www.rowancompanies.com/careers|https://www.rowancompanies.com/news
10|Noble Drilling|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-technologies.com|https://www.fmc-technologies.com/careers|https://www.fmc-technologies.com/news
10|Cameron International|Oil & Gas Equipment & Services|https://www.cameron.com|https://www.cameron.com/careers|https://www.cameron.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Ghana National Petroleum Corporation|Integrated Oil & Gas|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
2|Tullow Oil|Integrated Oil & Gas|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|Kosmos Energy|Integrated Oil & Gas|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
4|Eni Ghana|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enit/careers|https://www.eni.com/enit/news
5|PetroSA|Integrated Oil & Gas|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
6|Shell Ghana|Integrated Oil & Gas|https://www.shell.com.gh|https://www.shell.com.gh/careers|https://www.shell.com.gh/media
7|TotalEnergies Ghana|Integrated Oil & Gas|https://totalenergies.com.gh|https://totalenergies.com.gh/careers|https://totalenergies.com.gh/news
8|ExxonMobil Ghana|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news
9|Oando|Integrated Oil & Gas|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
10|AGIP|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enit/careers|https://www.eni.com/enit/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Eni Ghana|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/enit/careers|https://www.eni.com/enit/news
4|Ghana National Petroleum Corporation|Oil & Gas Exploration & Production|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
5|PetroSA|Oil & Gas Exploration & Production|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
6|ExxonMobil|Oil & Gas Exploration & Production|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news
7|Oando|Oil & Gas Exploration & Production|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
