|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Kenya Pipeline Company|Oil & Gas Drilling|https://www.kpc.co.ke|https://www.kpc.co.ke/careers|https://www.kpc.co.ke/news
2|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|TotalEnergies Kenya|Oil & Gas Drilling|https://totalenergies.co.ke|https://totalenergies.co.ke/en/careers|https://totalenergies.co.ke/en/news
4|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
5|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
6|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/en/news/
7|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
8|CNOOC Kenya|Oil & Gas Drilling|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
9|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/news
10|Maersk Oil|Oil & Gas Drilling|https://www.maersk.com|https://www.maersk.com/careers|https://www.maersk.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
2|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/en/news/
5|National Oil Corporation of Kenya|Oil & Gas Equipment & Services|https://www.nockenya.co.ke|https://www.nockenya.co.ke/careers|https://www.nockenya.co.ke/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/en/careers|https://www.akersolutions.com/en/news/
7|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-technologies.com|https://www.fmc-technologies.com/careers|https://www.fmc-technologies.com/news
8|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/news
9|KCA Deutag|Oil & Gas Equipment & Services|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
10|Transocean|Oil & Gas Equipment & Services|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Kenya Petroleum Refineries Limited|Integrated Oil & Gas|http://www.kprl.co.ke|http://www.kprl.co.ke/careers|http://www.kprl.co.ke/news
2|TotalEnergies Kenya|Integrated Oil & Gas|https://totalenergies.co.ke|https://totalenergies.co.ke/en/careers|https://totalenergies.co.ke/en/news
3|Shell Kenya|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases.html
4|Kenya Pipeline Company|Integrated Oil & Gas|https://www.kpc.co.ke|https://www.kpc.co.ke/careers|https://www.kpc.co.ke/news
5|Tullow Oil|Integrated Oil & Gas|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
6|Oryx Energies|Integrated Oil & Gas|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
7|National Oil Corporation of Kenya|Integrated Oil & Gas|https://www.nockenya.co.ke|https://www.nockenya.co.ke/careers|https://www.nockenya.co.ke/news
8|ExxonMobil Kenya|Integrated Oil & Gas|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
9|Petrobras Kenya|Integrated Oil & Gas|http://www.petrobras.com.br|http://www.petrobras.com.br/en/careers|http://www.petrobras.com.br/en/news
10|Engen Kenya|Integrated Oil & Gas|https://www.engen.co.ke|https://www.engen.co.ke/careers|https://www.engen.co.ke/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|Africa Oil Corp|Oil & Gas Exploration & Production|https://www.africaoilcorp.com|https://www.africaoilcorp.com/careers|https://www.africaoilcorp.com/news
3|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/en/careers|https://totalenergies.com/en/news
4|Kenya Petroleum Refineries Limited|Oil & Gas Exploration & Production|http://www.kprl.co.ke|http://www.kprl.co.ke/careers|http://www.kprl.co.ke/news
5|Maersk Oil|Oil & Gas Exploration & Production|https://www.maersk.com|https://www.maersk.com/careers|https://www.maersk.com/news
6|CNOOC Kenya|Oil & Gas Exploration & Production|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
7|Delonex Energy|Oil & Gas Exploration & Production|https://www.delonex.com|https://www.delonex.com/careers|https://www.delonex.com/news
8|ZhenHua Oil|Oil & Gas Exploration & Production|http://www.zhenhuaoil.com|http://www.zhenhuaoil.com/careers|http://www.zhenhuaoil.com/news
9|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
10|Petrobras|Oil & Gas Exploration & Production|http://www.petrobras.com|http://www.petrobras.com/en/careers|http://www.petrobras.com/en/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Kenya Petroleum Refineries Limited|Oil & Gas Refining & Marketing|http://www.kprl.co.ke|http://www.kprl.co.ke/careers|http://www.kprl.co.ke/news
2|TotalEnergies Kenya|Oil & Gas Refining & Marketing|https://totalenergies.co.ke|https://totalenergies.co.ke/en/careers|https://totalenergies.co.ke/en/news
3|Shell Kenya|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases.html
